Series,Status,Apps.,Part Number,Previous Part Number,Capacitance,Size(LxW),T(max),Rated Volt.[Vdc],Temperature Characteristic,Cap. Tole.,tanδ(max) [%],Q(min),Temp.[℃],Case Size(EIA/JIS),Dimension L,Dimension W,Dimension T,Standard Quantity,RoHS,Q200
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU063SCG181JFNA01,UMK063CG181JTHF,180 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU063SCG201JFNA01,UMK063CG201JTHF,200 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU063SCG221JFNA01,UMK063CG221JTHF,220 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG0R5CFNA01,UMK105CG0R5CVHF,0.5 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,410,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG010CFNA01,UMK105CG010CVHF,1 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,420,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG1R5CFNA01,UMK105CG1R5CVHF,1.5 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,430,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG020CFNA01,UMK105CG020CVHF,2 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,440,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG030CFNA01,UMK105CG030CVHF,3 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,460,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG040CFNA01,UMK105CG040CVHF,4 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,480,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG050CFNA01,UMK105CG050CVHF,5 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,500,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG060DFNA01,UMK105CG060DVHF,6 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,520,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG070DFNA01,UMK105CG070DVHF,7 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,540,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG080DFNA01,UMK105CG080DVHF,8 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,560,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG090DFNA01,UMK105CG090DVHF,9 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,580,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG100DFNA01,UMK105CG100DVHF,10 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,600,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG120JFNA01,UMK105CG120JVHF,12 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,640,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG150JFNA01,UMK105CG150JVHF,15 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,700,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG180JFNA01,UMK105CG180JVHF,18 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,760,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG220JFNA01,UMK105CG220JVHF,22 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,840,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG270JFNA01,UMK105CG270JVHF,27 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,940,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG330JFNA01,UMK105CG330JVHF,33 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG390JFNA01,UMK105CG390JVHF,39 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG470JFNA01,UMK105CG470JVHF,47 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG560JFNA01,UMK105CG560JVHF,56 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG680JFNA01,UMK105CG680JVHF,68 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG820JFNA01,UMK105CG820JVHF,82 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG101JFNA01,UMK105CG101JVHF,100 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG121JFNA01,UMK105CG121JVHF,120 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG151JFNA01,UMK105CG151JVHF,150 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG181JFNA01,UMK105CG181JVHF,180 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG221JFNA01,UMK105CG221JVHF,220 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG271JFNA01,UMK105CG271JVHF,270 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG331JFNA01,UMK105CG331JVHF,330 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG391JFNA01,UMK105CG391JVHF,390 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG471JFNA01,UMK105CG471JVHF,470 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG561JFNA01,UMK105CG561JVHF,560 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG681JFNA01,UMK105CG681JVHF,680 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG821JFNA01,UMK105CG821JVHF,820 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production (Preferred),(M)Medical (International Class. Ⅲ）,MMASU105SCG102JFNA01,UMK105CG102JVHF,1000 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5103KFNA01,UMK063BJ103KP-F,0.01 uF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5103MFNA01,UMK063BJ103MP-F,0.01 uF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5682KFNA01,UMK063BJ682KP-F,6800 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5682MFNA01,UMK063BJ682MP-F,6800 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5472KFNA01,UMK063BJ472KP-F,4700 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5472MFNA01,UMK063BJ472MP-F,4700 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5332KFNA01,UMK063BJ332KP-F,3300 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5332MFNA01,UMK063BJ332MP-F,3300 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5222KFNA01,UMK063BJ222KP-F,2200 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5222MFNA01,UMK063BJ222MP-F,2200 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5152KFNA01,UMK063BJ152KP-F,1500 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5152MFNA01,UMK063BJ152MP-F,1500 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5102KFNA01,UMK063BJ102KP-F,1000 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5102MFNA01,UMK063BJ102MP-F,1000 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5681KFNA01,UMK063BJ681KP-F,680 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5681MFNA01,UMK063BJ681MP-F,680 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5471KFNA01,UMK063BJ471KP-F,470 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5471MFNA01,UMK063BJ471MP-F,470 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5331KFNA01,UMK063BJ331KP-F,330 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5331MFNA01,UMK063BJ331MP-F,330 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5221KFNA01,UMK063BJ221KP-F,220 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5221MFNA01,UMK063BJ221MP-F,220 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5151KFNA01,UMK063BJ151KP-F,150 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5151MFNA01,UMK063BJ151MP-F,150 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5101KFNA01,UMK063BJ101KP-F,100 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB5101MFNA01,UMK063BJ101MP-F,100 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for Medical Devices classified as GHTF Classes A or B (Japan Classes I or II),Mass Production (Preferred),(L)Medical (International Class. I ・ II),MLASU063SB7102KFNA01,UMK063B7102KP-F,1000 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
